128
4
8,15
60,104
(6,15)
(7,15)
(7,16)
(7,17)
(8,15)
(8,16)
(8,17)
(8,18)
(8,19)
(9,16)
(9,17)
(9,18)
(9,19)
(9,20)
(10,18)
(10,19)
(10,20)
(10,21)
(10,22)
(11,20)
(11,21)
(11,22)
(11,23)
(11,24)
(12,21)
(12,22)
(12,23)
(12,24)
(12,25)
(12,26)
(13,23)
(13,24)
(13,25)
(13,26)
(13,27)
(14,25)
(14,26)
(14,27)
(14,28)
(14,29)
(15,27)
(15,28)
(15,29)
(15,30)
(15,31)
(16,28)
(16,29)
(16,30)
(16,31)
(16,32)
(17,30)
(17,31)
(17,32)
(17,33)
(17,34)
(18,32)
(18,33)
(18,34)
(18,35)
(18,36)
(19,33)
(19,34)
(19,35)
(19,36)
(19,37)
(19,38)
(20,35)
(20,36)
(20,37)
(20,38)
(20,39)
(21,37)
(21,38)
(21,39)
(21,40)
(21,41)
(22,39)
(22,40)
(22,41)
(22,42)
(22,43)
(23,40)
(23,41)
(23,42)
(23,43)
(23,44)
(24,42)
(24,43)
(24,44)
(24,45)
(24,46)
(25,44)
(25,45)
(25,46)
(25,47)
(25,48)
(26,45)
(26,46)
(26,47)
(26,48)
(26,49)
(26,50)
(27,47)
(27,48)
(27,49)
(27,50)
(27,51)
(28,49)
(28,50)
(28,51)
(28,52)
(28,53)
(29,51)
(29,52)
(29,53)
(29,54)
(29,55)
(30,52)
(30,53)
(30,54)
(30,55)
(30,56)
(31,54)
(31,55)
(31,56)
(31,57)
(31,58)
(32,56)
(32,57)
(32,58)
(32,59)
(32,60)
(33,57)
(33,58)
(33,59)
(33,60)
(33,61)
(33,62)
(34,59)
(34,60)
(34,61)
(34,62)
(34,63)
(35,61)
(35,62)
(35,63)
(35,64)
(35,65)
(36,63)
(36,64)
(36,65)
(36,66)
(36,67)
(37,64)
(37,65)
(37,66)
(37,67)
(37,68)
(38,66)
(38,67)
(38,68)
(38,69)
(38,70)
(39,68)
(39,69)
(39,70)
(39,71)
(39,72)
(40,69)
(40,70)
(40,71)
(40,72)
(40,73)
(40,74)
(41,71)
(41,72)
(41,73)
(41,74)
(41,75)
(42,73)
(42,74)
(42,75)
(42,76)
(42,77)
(43,75)
(43,76)
(43,77)
(43,78)
(43,79)
(44,76)
(44,77)
(44,78)
(44,79)
(44,80)
(45,78)
(45,79)
(45,80)
(45,81)
(45,82)
(46,80)
(46,81)
(46,82)
(46,83)
(46,84)
(47,81)
(47,82)
(47,83)
(47,84)
(47,85)
(47,86)
(48,83)
(48,84)
(48,85)
(48,86)
(48,87)
(49,85)
(49,86)
(49,87)
(49,88)
(49,89)
(50,87)
(50,88)
(50,89)
(50,90)
(50,91)
(51,88)
(51,89)
(51,90)
(51,91)
(51,92)
(52,90)
(52,91)
(52,92)
(52,93)
(52,94)
(53,92)
(53,93)
(53,94)
(53,95)
(53,96)
(54,93)
(54,94)
(54,95)
(54,96)
(54,97)
(54,98)
(55,95)
(55,96)
(55,97)
(55,98)
(55,99)
(56,97)
(56,98)
(56,99)
(56,100)
(56,101)
(57,99)
(57,100)
(57,101)
(57,102)
(57,103)
(58,100)
(58,101)
(58,102)
(58,103)
(58,104)
(59,102)
(59,103)
(59,104)
(60,104)
